In frame: 540, radius = 76 and center is [345, 238]
In frame: 541, radius = 77 and center is [345, 238]
In frame: 542, radius = 77 and center is [345, 238]
In frame: 543, radius = 77 and center is [344, 238]
In frame: 544, radius = 78 and center is [344, 238]
In frame: 545, radius = 77 and center is [344, 238]
In frame: 546, radius = 78 and center is [344, 238]
In frame: 547, radius = 78 and center is [342, 235]
In frame: 548, radius = 78 and center is [341, 235]
In frame: 549, radius = 78 and center is [341, 235]
In frame: 550, radius = 78 and center is [341, 235]
In frame: 551, radius = 79 and center is [340, 235]
In frame: 552, radius = 79 and center is [340, 235]
In frame: 553, radius = 79 and center is [340, 235]
In frame: 554, radius = 79 and center is [340, 235]
In frame: 555, radius = 79 and center is [340, 235]
In frame: 556, radius = 79 and center is [340, 234]
In frame: 557, radius = 79 and center is [340, 234]
In frame: 558, radius = 79 and center is [339, 233]
In frame: 559, radius = 79 and center is [339, 229]
In frame: 560, radius = 80 and center is [339, 227]
In frame: 561, radius = 80 and center is [339, 227]
In frame: 562, radius = 80 and center is [338, 227]
In frame: 563, radius = 80 and center is [338, 227]
In frame: 564, radius = 80 and center is [337, 227]
In frame: 565, radius = 80 and center is [337, 227]
In frame: 566, radius = 80 and center is [336, 227]
In frame: 567, radius = 80 and center is [335, 226]
In frame: 568, radius = 81 and center is [334, 225]
In frame: 569, radius = 81 and center is [333, 225]
In frame: 570, radius = 81 and center is [332, 224]
In frame: 571, radius = 82 and center is [328, 220]
In frame: 572, radius = 82 and center is [328, 221]
In frame: 573, radius = 82 and center is [327, 222]
In frame: 574, radius = 81 and center is [326, 222]
In frame: 575, radius = 81 and center is [325, 223]
In frame: 576, radius = 81 and center is [323, 223]
In frame: 577, radius = 81 and center is [323, 224]
In frame: 578, radius = 81 and center is [321, 224]
In frame: 579, radius = 82 and center is [321, 224]
In frame: 580, radius = 82 and center is [320, 224]
In frame: 581, radius = 82 and center is [320, 224]
In frame: 582, radius = 82 and center is [319, 224]
In frame: 583, radius = 82 and center is [319, 224]
In frame: 584, radius = 82 and center is [321, 224]
In frame: 585, radius = 82 and center is [321, 224]
In frame: 586, radius = 82 and center is [321, 224]
In frame: 587, radius = 82 and center is [321, 224]
In frame: 588, radius = 83 and center is [320, 225]
In frame: 589, radius = 83 and center is [320, 224]
In frame: 590, radius = 83 and center is [320, 224]
In frame: 591, radius = 83 and center is [320, 224]
In frame: 592, radius = 83 and center is [320, 225]
In frame: 593, radius = 83 and center is [320, 225]
In frame: 594, radius = 84 and center is [321, 225]
In frame: 595, radius = 84 and center is [321, 225]
In frame: 596, radius = 84 and center is [321, 224]
In frame: 597, radius = 84 and center is [320, 224]
In frame: 598, radius = 83 and center is [320, 223]
In frame: 599, radius = 83 and center is [320, 223]
In frame: 600, radius = 83 and center is [320, 223]
In frame: 601, radius = 83 and center is [320, 223]
In frame: 602, radius = 82 and center is [320, 222]
In frame: 603, radius = 82 and center is [319, 223]
In frame: 604, radius = 82 and center is [319, 223]
In frame: 605, radius = 82 and center is [318, 222]
In frame: 606, radius = 82 and center is [317, 222]
In frame: 607, radius = 82 and center is [317, 221]
In frame: 608, radius = 82 and center is [316, 221]
